Body,sgp,x,y,z,vx,vy,vz
Sun,1.33E+20,-1.14E-05,7.20E-03,-7.61E-05,-7.54E-06,2.76E-06,1.88E-07
Mercury,22032900000000,-3.94E-01,-1.09E-01,2.66E-02,2.12E-03,-2.58E-02,2.30E-03
Venus,324859900000000,6.99E-01,-1.91E-01,-4.31E-02,5.42E-03,1.94E-02,-4.72E-05
Earth,398600441880000,1.00E+00,5.28E-02,-7.94E-05,-1.07E-03,1.71E-02,-3.48E-07
Mars,4.28E+13,1.32E+00,-4.15E-01,-4.12E-02,4.80E-03,1.45E-02,1.86E-04
Jupiter,1.27E+17,-2.78E+00,-4.60E+00,8.12E-02,6.37E-03,-3.54E-03,-1.28E-04
Saturn,3.79E+16,1.46E+00,-9.95E+00,1.15E-01,5.21E-03,7.90E-04,-2.22E-04
Uranus,5.79294E+15,1.72E+01,9.94E+00,-1.86E-01,-2.00E-03,3.22E-03,3.78E-05
Neptune,6.83653E+15,2.89E+01,-7.78E+00,-5.06E-01,7.95E-04,3.05E-03,-8.07E-05
Pluto,871900000000,1.16E+01,-3.16E+01,2.71E-02,3.01E-03,4.09E-04,-9.23E-04
